Timestamp,Force_X,Force_Y,Force_Z,Torque_X,Torque_Y,Torque_Z,J1_Pos,J2_Pos,J3_Pos,J4_Pos,J5_Pos,J6_Pos,J1_Cmd,J2_Cmd,J3_Cmd,J4_Cmd,J5_Cmd,J6_Cmd,J1_Cmd_Raw,J2_Cmd_Raw,J3_Cmd_Raw,J4_Cmd_Raw,J5_Cmd_Raw,J6_Cmd_Raw,J1_Vel,J2_Vel,J3_Vel,J4_Vel,J5_Vel,J6_Vel,nx,ny,nz,ox,oy,oz,ax,ay,az,X,Y,Z,Human_Fx,Human_Fy,Human_Fz,Vir_Fx,Vir_Fy,Vir_Fz,Vir_X_Pos,Vir_Y_Pos,Vir_Z_Pos,Vir_X_Vel,Vir_Y_Vel,Vir_Z_Vel,LinkVert_1_X,LinkVert_1_Y,LinkVert_1_Z,LinkVert_2_X,LinkVert_2_Y,LinkVert_2_Z,LinkVert_3_X,LinkVert_3_Y,LinkVert_3_Z,CollisionLoc_1_X,CollisionLoc_1_Y,CollisionLoc_1_Z,CollisionLoc_2_X,CollisionLoc_2_Y,CollisionLoc_2_Z,CollisionLoc_3_X,CollisionLoc_3_Y,CollisionLoc_3_Z,CollisionLoc_4_X,CollisionLoc_4_Y,CollisionLoc_4_Z,CollisionDir_1_X,CollisionDir_1_Y,CollisionDir_1_Z,CollisionDir_2_X,CollisionDir_2_Y,CollisionDir_2_Z,CollisionDir_3_X,CollisionDir_3_Y,CollisionDir_3_Z,CollisionDir_4_X,CollisionDir_4_Y,CollisionDir_4_Z,Fault_state,Motion_state
10.483823,-0.254531,-2.007122,0.528952,-0.025726,0.017036,0.069840,1.540316,-0.223696,-1.101102,0.039576,0.881444,3.117259,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000052,1.000000,0.000958,-0.003651,-0.000957,0.999993,0.999993,-0.000056,0.003651,1261.848633,31.295855,987.742432,0.000000,0.000000,-20.000000,0.000000,0.000000,0.000000,-1.261371,0.031292,-1.018322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1
10.485826,-0.491308,-2.025802,0.740251,-0.020362,0.015025,0.049429,1.540316,-0.224635,-1.100530,0.039626,0.879932,3.117183,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000052,1.000000,0.000959,-0.003649,-0.000959,0.999993,0.999993,-0.000056,0.003649,1261.851807,31.295912,988.993042,0.000000,0.000000,-20.000000,0.000000,0.000000,0.000000,-1.261371,0.031292,-1.018322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1
10.487820,-0.436480,-2.078982,0.912520,-0.024721,-0.001421,0.025586,1.540316,-0.225581,-1.099953,0.039676,0.878411,3.117101,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000052,1.000000,0.000956,-0.003650,-0.000956,0.999993,0.999993,-0.000056,0.003650,1261.852539,31.295977,990.253784,0.000000,0.000000,-20.000000,0.000000,0.000000,0.000000,-1.261371,0.031292,-1.018322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1
10.489767,-0.222755,-2.049516,1.010911,-0.029831,-0.023333,0.002682,1.540316,-0.226523,-1.099377,0.039726,0.876891,3.117025,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000052,1.000000,0.000958,-0.003648,-0.000958,0.999993,0.999993,-0.000055,0.003648,1261.852661,31.296066,991.511658,0.000000,0.000000,-20.000000,0.000000,0.000000,0.000000,-1.261371,0.031292,-1.018322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1
10.491822,-0.050290,-1.873249,1.012707,-0.028290,-0.040554,-0.010390,1.540316,-0.227469,-1.098794,0.039775,0.875360,3.116943,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000051,1.000000,0.000955,-0.003644,-0.000955,0.999993,0.999993,-0.000054,0.003644,1261.854126,31.296305,992.779419,0.000000,0.000000,-20.000000,0.000000,0.000000,0.000000,-1.261371,0.031292,-1.018322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1
10.493817,-0.014607,-1.814899,0.818128,-0.022326,-0.044476,-0.003088,1.540316,-0.228415,-1.098206,0.039825,0.873828,3.116862,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000050,1.000000,0.000952,-0.003645,-0.000952,0.999993,0.999993,-0.000053,0.003645,1261.856445,31.296610,994.052795,0.000000,0.000000,-20.000000,0.000000,0.000000,0.000000,-1.261371,0.031292,-1.018322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1
10.495812,-0.102128,-2.115920,0.433411,-0.017305,-0.036074,0.021601,1.540316,-0.229358,-1.097644,0.039878,0.872288,3.116780,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000052,1.000000,0.000951,-0.003608,-0.000950,0.999993,0.999994,-0.000055,0.003608,1261.840088,31.295742,995.289978,0.000000,0.000000,-20.000000,0.000000,0.000000,0.000000,-1.261371,0.031292,-1.018322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1
10.497836,-0.342923,-2.642537,0.173379,-0.009658,-0.020699,0.051640,1.540311,-0.230195,-1.097224,0.039928,0.870756,3.116704,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000046,1.000000,0.000945,-0.003333,-0.000945,0.999994,0.999995,-0.000050,0.003333,1261.767700,31.298973,996.254211,0.000000,0.000000,-20.000000,0.000000,0.000000,0.000000,-1.261371,0.031292,-1.018322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1
10.499888,-0.823488,-2.854918,0.711417,0.003078,-0.009531,0.080097,1.540311,-0.230862,-1.096977,0.039978,0.869276,3.116623,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000047,1.000000,0.000923,-0.002765,-0.000923,0.999996,0.999996,-0.000049,0.002765,1261.646606,31.295319,996.851746,0.000000,0.000000,-20.000000,0.000000,0.000000,0.000000,-1.261371,0.031292,-1.018322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1
10.501838,-1.686119,-1.706667,2.691312,0.030628,-0.012161,0.107374,1.540311,-0.231369,-1.096898,0.040024,0.867886,3.116541,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000047,1.000000,0.000889,-0.001962,-0.000889,0.999998,0.999998,-0.000048,0.001962,1261.477173,31.290367,997.111877,0.000000,0.000000,-20.000000,0.000000,0.000000,0.000000,-1.261371,0.031292,-1.018322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1
10.503888,-2.589655,2.308658,6.290721,0.091232,-0.029703,0.134364,1.540307,-0.231728,-1.096970,0.040062,0.866596,3.116460,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000039,1.000000,0.000841,-0.000957,-0.000841,0.999999,1.000000,-0.000040,0.000957,1261.265625,31.290194,997.064026,0.000000,0.000000,-20.000000,0.000000,0.000000,0.000000,-1.261371,0.031292,-1.018322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1
10.505835,-2.740597,10.164433,11.140300,0.196413,-0.060319,0.158387,1.540303,-0.231953,-1.097173,0.040092,0.865408,3.116384,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000028,1.000000,0.000786,0.000209,-0.000786,1.000000,1.000000,-0.000028,-0.000209,1261.020874,31.289618,996.749939,0.000000,0.000000,-20.000000,0.000000,0.000000,0.000000,-1.261371,0.031292,-1.018322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1
10.507885,-2.217713,21.320037,16.477157,0.344415,-0.093617,0.175378,1.540299,-0.232087,-1.097383,0.040119,0.864328,3.116307,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000017,1.000000,0.000725,0.001366,-0.000725,0.999999,0.999999,-0.000016,-0.001366,1260.810913,31.290308,996.365356,0.000000,0.000000,-20.000000,0.000000,0.000000,0.000000,-1.261371,0.031292,-1.018322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1
10.509836,-2.168470,33.812906,21.572346,0.521881,-0.114423,0.169903,1.540295,-0.232268,-1.097478,0.040138,0.863350,3.116237,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,1.000000,0.000669,0.002256,-0.000669,0.999997,0.999997,-0.000001,-0.002256,1260.662842,31.293631,996.193787,0.000000,0.000000,-20.000000,0.000000,0.000000,0.000000,-1.261371,0.031292,-1.018322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1
10.511887,-3.224555,45.560499,25.551777,0.690845,-0.111943,0.140493,1.540291,-0.232573,-1.097423,0.040161,0.862451,3.116166,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000007,1.000000,0.000624,0.002796,-0.000624,0.999996,0.999996,0.000009,-0.002796,1260.564941,31.297180,996.342346,0.000000,0.000000,-20.000000,0.000000,0.000000,0.000000,-1.261371,0.031292,-1.018322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1
10.513839,-4.713008,54.948548,26.880035,0.814165,-0.088853,0.111012,1.540291,-0.232993,-1.097260,0.040188,0.861592,3.116101,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,1.540303,-0.246530,-1.087135,0.040878,0.844440,3.115266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000009,1.000000,0.000594,0.003072,-0.000594,0.999995,0.999995,0.000011,-0.003072,1260.492676,31.295483,996.745972,0.000000,0.000000,-20.000000,0.000000,0.000000,0.000000,-1.261371,0.031292,-1.018322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1
